iter	Passed	Remaining
400	26088	38969
401	26145	38892
402	26210	38827
403	26272	38757
404	26331	38685
405	26389	38609
406	26440	38524
407	26506	38460
408	26570	38393
409	26632	38325
410	26695	38257
411	26752	38180
412	26829	38133
413	26896	38070
414	26957	38000
415	27020	37932
416	27088	37871
417	27157	37812
418	27226	37752
419	27292	37689
420	27353	37619
421	27412	37546
422	27478	37482
423	27540	37414
424	27598	37339
425	27659	37268
426	27713	37188
427	27781	37128
428	27840	37055
429	27902	36987
430	27962	36915
431	28033	36858
432	28086	36778
433	28136	36694
434	28199	36627
435	28260	36557
436	28325	36492
437	28386	36422
438	28440	36344
439	28503	36277
440	28560	36202
441	28621	36133
442	28690	36073
443	28760	36015
444	28814	35937
445	28870	35861
446	28936	35798
447	28998	35729
448	29054	35654
449	29116	35586
450	29182	35523
451	29240	35451
452	29307	35389
453	29380	35333
454	29433	35254
455	29489	35179
456	29541	35100
457	29597	35025
458	29665	34964
459	29723	34893
460	29793	34834
461	29855	34766
462	29920	34703
463	29986	34639
464	30051	34574
465	30114	34508
466	30182	34447
467	30244	34380
468	30307	34313
469	30362	34238
470	30423	34170
471	30498	34117
472	30559	34048
473	30618	33977
474	30683	33912
475	30742	33842
476	30819	33791
477	30884	33727
478	30936	33649
479	30994	33577
480	31054	33508
481	31122	33447
482	31178	33373
483	31261	33328
484	31334	33272
485	31399	33208
486	31463	33143
487	31526	33076
488	31596	33018
489	31663	32955
490	31722	32885
491	31801	32835
492	31863	32767
493	31926	32702
494	31993	32639
495	32049	32566
496	32108	32496
497	32173	32432
498	32240	32370
499	32323	32323
500	32406	32277
501	32475	32217
502	32544	32156
503	32603	32086
504	32659	32012
505	32713	31937
506	32775	31869
507	32830	31796
508	32895	31732
509	32967	31674
510	33040	31618
511	33103	31551
512	33162	31481
513	33221	31411
514	33299	31359
515	33355	31286
516	33440	31241
517	33502	31174
518	33560	31103
519	33633	31046
520	33685	30969
521	33754	30909
522	33824	30849
523	33877	30774
524	33944	30711
525	34033	30668
526	34104	30610
527	34173	30548
528	34253	30497
529	34313	30429
530	34396	30379
531	34466	30320
532	34548	30270
533	34629	30219
534	34710	30169
535	34789	30116
536	34866	30061
537	34927	29993
538	35003	29938
539	35083	29886
540	35165	29835
541	35282	29814
542	35379	29776
543	35447	29713
544	35518	29652
545	35585	29589
546	35659	29531
547	35724	29466
548	35797	29407
549	35865	29344
550	35935	29282
551	35998	29216
552	36066	29153
553	36133	29089
554	36199	29025
555	36258	28954
556	36327	28892
557	36396	28830
558	36461	28764
559	36530	28702
560	36595	28637
561	36655	28567
562	36709	28494
563	36776	28430
564	36835	28359
565	36895	28290
566	36961	28226
567	37015	28152
568	37077	28085
569	37146	28022
570	37202	27950
571	37259	27879
572	37314	27806
573	37386	27747
574	37455	27684
575	37521	27619
576	37592	27559
577	37655	27492
578	37712	27421
579	37763	27346
580	37828	27280
581	37887	27211
582	37946	27141
583	38006	27073
584	38078	27012
585	38134	26941
